Product_Name,Product_Price,Product_Url,Product_Reviews,Product_Rating
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-14,"5,932",4.3 
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-15,"19,043",4.0 
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",599,www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-16,"2,038",3.8 
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"1,999",www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-17,"7,045",4.5 
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-18,"9,509",3.9 
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,199",www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-19,686,4.3 
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,099",www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-20,"5,603",4.3 
Red Lemon BANGE Multifunctional Waterproof Anti-Thief Sling Bag with USB Charging (Camo),"1,899",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODU3NzczMTkzNzcxNTc6MTY4NTE3MjY3MTpzcF9idGY6MjAxMTY4NzkxNzM4OTg6OjA6Og&url=%2FRed-Lemon-Multifunctional-Waterproof-Anti-Thief%2Fdp%2FB0B12VQFVC%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685172671%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,146,4.3 
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","6,999",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODU3NzczMTkzNzcxNTc6MTY4NTE3MjY3MTpzcF9idGY6MjAxMTAxODE1MTA5OTg6OjA6Og&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X81X69%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685172671%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,51,4.5 
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",529,www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDE5MTIxNjAzNzExNDE1OjE2ODUxNzczNzE6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685177370%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"15,937",3.9 
